StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,stop_without_complet,Q45,Q46,Q47,Q47_1_TEXT,Q47_7_TEXT,Q49,Q49_4_TEXT,Q51,Q52,Q53,Q53_1_TEXT,Q53_5_TEXT,Q55,Q55_4_TEXT,iqtest1_1,iqtest1_2,iqtest2_1,iqtest2_2,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,iqtest1,Q26_First Click,Q26_Last Click,Q26_Page Submit,Q26_Click Count,iqtest2,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,iqtest3,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,iqtest4,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,iqtest5,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,iqtest6,Q58,Q59,Q60,SC0,ResponseID,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent
By clicking on the boxes below I confirm that I have received written information about the study and have been given the possibility to ask questions.",stop_without_complet,"The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 15% cut in your salary. Given your situation, would you be able to maintain roughly your same lifestyle under those new circumstances? If not, what changes would you need to make? Would it impact your leisure, housing, or travel plans?","Imagine that an unforeseen event requires of you an immediate $2,000 expense. Are there ways in  which you may be able to come up with that amount of money on a very short notice? How would you go about it? Would it cause you long-lasting financial hardship? Would it require you to make sacrifices that have long-term consequences? If so, what kind of sacrifices?","Imagine that your car is having some trouble, and requires a $1,500  service. Unfortunately, your auto insurance will cover only 10% of this cost. You now need to decide the following: - Selected Choice","Imagine that your car is having some trouble, and requires a $1,500  service. Unfortunately, your auto insurance will cover only 10% of this cost. You now need to decide the following: - (1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it? - Text","Imagine that your car is having some trouble, and requires a $1,500  service. Unfortunately, your auto insurance will cover only 10% of this cost. You now need to decide the following: - How would you go about making this decision? Would it be an easy or a difficult decision for you to make? - Text",Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options: - Selected Choice,Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options: - Would you have the necessary cash on hand? Would the interest be worth paying in this case? - Text,"The economy is going through difficult times; suppose your employer needs to make substantial budget cuts. Imagine a scenario in which you received a 5% cut in your salary. Given your situation, would you be able to maintain roughly your same lifestyle under those new circumstances? If not, what changes would you need to make? Would it impact your leisure, housing, or travel plans?","Imagine that an unforeseen event requires of you an immediate $200 expense. Are there ways in which you may be able to come up with that amount of money on a very short notice? How would you go about it? Would it cause you long-lasting financial hardship? Would it require you to make sacrifices that have long-term consequences? If so, what kind of sacrifices?","Imagine that your car is having some trouble, and requires a $150 service. Unfortunately, your auto insurance will cover only 10% of this cost. You now need to decide the following: - Selected Choice","Imagine that your car is having some trouble, and requires a $150 service. Unfortunately, your auto insurance will cover only 10% of this cost. You now need to decide the following: - (1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it? - Text","Imagine that your car is having some trouble, and requires a $150 service. Unfortunately, your auto insurance will cover only 10% of this cost. You now need to decide the following: - How would you go about making this decision? Would it be an easy or a difficult decision for you to make? - Text",Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options: - Selected Choice,Suppose you have reached the point where you must replace your old refrigerator. The model you plan to buy offers two alternative financing options: - Which financing option would you opt for? Would you have the necessary cash on hand? Would the interest be worth paying in this case? - Text,"First sample

 



 

 
Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)","First sample





 

Solution

The first piece is the only correct one.

The rule which defines the puzzle is: The dashed lines in the diagonal always form an X, i.e. the missing piece needs to have a dashed X. The second rule is that the position of the black rectangle systematically varies: It moves clockwise in each column and row, i.e. it has to be situated in the center of the lower part in the missing piece.

Click “Continue” to go to the second sample task.","Second sample

 



 

Which piece is the one required to complete the design?

(Click on the correct piece and then on ""Continue"")","Second sample

 


 

Solution

The sixth piece is the only correct solution.

In the task subtracting elements from each other was required. The elements in the second position have to be subtracted from the elements in the first column, i.e. in the third column those elements need to be present which are situated in the first column, but not in the second one. The square frame is not considered for the subtraction and remains intact.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Which piece is the one required to complete the design?

(Click on the correct piece and then on “Continue“)","What is the total income of your household per year in US dollars, before taxes? 

(Add up the annual income of everyone in your household)",How many people live in your household?,Do you own a car?,Score,ResponseID,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID64""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_1_TEXT""}","{""ImportId"":""QID47_7_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_4_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_1_TEXT""}","{""ImportId"":""QID53_5_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_4_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_FIRST_CLICK""}","{""ImportId"":""QID23_LAST_CLICK""}","{""ImportId"":""QID23_PAGE_SUBMIT""}","{""ImportId"":""QID23_CLICK_COUNT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26_FIRST_CLICK""}","{""ImportId"":""QID26_LAST_CLICK""}","{""ImportId"":""QID26_PAGE_SUBMIT""}","{""ImportId"":""QID26_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""SC_0TEc3MC7hrPFehT""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""PROLIFIC_PID""}"
2021-11-02 19:27:01,2021-11-02 19:28:39,Survey Preview,,100,97,True,2021-11-02 19:28:40,R_0Oh3kpTbc00qpTb,,,,,57.7259063720703125,11.7707061767578125,preview,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,,,,,,,,gfds,jhgtfrdsa,(1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it?,,,Which financing option would you opt for? Would you have the necessary cash on hand? Would the interest be worth paying in this case?,,,,,,0,0,11.403,0,,0,0,0.811,0,,0,0,3.888,0,,0,0,1.001,0,,0,0,3.457,0,,0,0,1.86,0,,65434,5,Yes,0,R_0Oh3kpTbc00qpTb,
2021-11-02 19:44:02,2021-11-02 19:45:26,Survey Preview,,100,84,True,2021-11-02 19:45:27,R_1rcU5xjyY7todgw,,,,,57.7259063720703125,11.7707061767578125,preview,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,fdsa,fds,"(2) Take out a loan, which you can pay back in monthly installments. A typical such loan may require monthly payments of roughly $150 ($15) a month for 12 months, which would amount to about $1800 ($180) total. ",,,"(1) You can pay the full amount in cash, which will cost you $999. ",,,,,,,,,,,,,0,0,1.657,0,,0,0,4.089,0,,0,0,5.704,0,,0,0,1.636,0,,0,0,1.151,0,,0,0,1.142,0,,6789,2,Yes,0,R_1rcU5xjyY7todgw,
2021-11-10 13:54:11,2021-11-10 13:56:17,IP Address,37.250.101.226,100,125,True,2021-11-10 13:56:17,R_1rOiNPgO8u57dtW,,,,,59.32470703125,18.055999755859375,anonymous,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,Testtesttest,Testtesttest,"(1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it?,How would you go about making this decision? Would it be an easy or a difficult decision for you to make?",,Testtesttest,Would you have the necessary cash on hand? Would the interest be worth paying in this case?,Testtesttest,,,,,,,,IM_bE2S9o14I9Ccz9X,IM_bE2S9o14I9Ccz9X,IM_8DmZ9ZEfHxFip9z,IM_8DmZ9ZEfHxFip9z,1.31,1.31,2.302,1,IM_37qHVXrChxr3OdL,0.552,0.552,1.723,1,IM_72FfRAFEaDhQx5b,0.817,0.817,2.048,1,IM_5pPvygmV7KCrxu5,0.753,0.753,2.059,1,IM_6fbdBLSxUfqGdE1,1.245,1.245,2.16,1,IM_24fke3OzrM4BitL,0.737,1.93,2.423,2,IM_bQQ2CkCGY2caZQp,9999999,7 or more,No,0,R_1rOiNPgO8u57dtW,{{%PROLIFIC_PID%}}
2021-12-01 11:03:15,2021-12-01 11:16:36,IP Address,83.10.61.112,100,801,True,2021-12-01 11:16:37,R_2XoK6RzEzBd0r0S,,,,,50.052001953125,19.9326934814453125,anonymous,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,,,,,,,,My lifestyle wouldn't cahnge,I have enough money saved. And if I didn't I would probably be able to borrow it from my friends and family,"(1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it?,How would you go about making this decision? Would it be an easy or a difficult decision for you to make?",I have enough money to pay it out of the pocket,In my financial situation it's an easy decidion,"(1) You can pay the full amount in cash, which will cost you $399. ,Which financing option would you opt for? Would you have the necessary cash on hand? Would the interest be worth paying in this case?","Depends on the situation. If I need the refrigerator immediately and I have no cash, I would probably consider monthly payments. But if not, I'd prefer to wait, save and pay by cash",IM_bE2S9o14I9Ccz9X,IM_bE2S9o14I9Ccz9X,IM_6nAKdOfSbtJLV65,IM_7QdRZflfm3z1iYZ,33.301,34.16,35.257,2,IM_8kKKjB4nAMNj9YN,12.249,12.249,14.417,1,IM_digXxcyqRdabhUp,24.078,24.078,26.244,1,IM_9voKE7k5pLmveuh,14.2,14.2,16.57,1,IM_72rU8yrbGxUD6Dz,17.892,19.05,21.527,2,IM_9pey1efRn9y0z8p,55.597,56.659,57.837,2,IM_56FHXol3GC4Wjwp,17568,1,No,5,R_2XoK6RzEzBd0r0S,5e66bf83d06ef14483413880
2021-12-01 11:01:50,2021-12-01 11:17:04,IP Address,188.80.84.219,100,914,True,2021-12-01 11:17:05,R_3kiXqurBhuJGOnz,,,,,39.4192962646484375,-8.962005615234375,anonymous,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,"I would not be able to maintain the same lifestyle, and would need to reduce my lifestyle to the basic needs. This would affect my leisure and travel plans, but not housing plans.","Yes, I could come up with that amount of money on a very short notice, most likely by using my own money up to the maximum amount I can, and asking my parents and other relatives for the leftover. I don't think this would cause a long-lasting financial hardship, however it would take me some time to be able to payback to whoever helped me, and then saving to the previous amount I owned. The sacrifices I would have to make wouldn't be long-term ones, probably I would sacrifice the luxuries that improve only my lifestyle, and not the basic needs (my parents (and family) would help me so I wouldn't need to sacrifice my basic necessities, most likely)","(2) Take out a loan, which you can pay back in monthly installments. A typical such loan may require monthly payments of roughly $150 ($15) a month for 12 months, which would amount to about $1800 ($180) total. ,How would you go about making this decision? Would it be an easy or a difficult decision for you to make?",,"It would be a very difficult decision. it would depend on how much I need the car on a daily basis, and the time the loan would need to be lent.","(2) You can pay in 12 monthly payments, of $100 each, which would amount to a total of $1200 .,Would you have the necessary cash on hand? Would the interest be worth paying in this case?","I would have the necessary cash on hand. However, to me, it is more responsible to spend 100$ a month during a year (making it 1200$), as it 999$ is a big expense to be made at once. So, in my opinion, it is worth to pay the interest in this case.",,,,,,,,IM_bE2S9o14I9Ccz9X,IM_bE2S9o14I9Ccz9X,IM_6nAKdOfSbtJLV65,IM_7QdRZflfm3z1iYZ,14.964,14.964,15.971,1,IM_8kKKjB4nAMNj9YN,9.805,9.805,11.282,1,IM_digXxcyqRdabhUp,36.283,36.283,37.73,1,IM_9voKE7k5pLmveuh,19.043,19.043,20.209,1,IM_72rU8yrbGxUD6Dz,22.798,22.798,24.116,1,IM_9nL7YBvVgXgG28d,18.286,18.286,19.373,1,IM_784C00xIF940eOx,25000,3,Yes,5,R_3kiXqurBhuJGOnz,60cf7428d7487f3370fe5170
2021-12-01 11:03:26,2021-12-01 11:21:31,IP Address,197.185.98.81,100,1085,True,2021-12-01 11:21:31,R_3Pw2GwmbLpCcW4e,,,,,-25.7599029541015625,28.260406494140625,anonymous,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,,,,,,,,"I would still be able to maintain the same lifestyle with a 5% cut, but I would try and cut some expenses to be comfortable in case there are emergencies that might require money and would be difficult to tackle with the new salary.","Yes, the best way would be to take out some money from my savings, but that would take me back a few months to get back to the same amount that I had in my savings. Another way would be to borrow money from close friends & family to pay off the expense but that would also require me to sacrifice some of my expenses for the next coming months while i'm paying back the money.",(1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it?,I would claim the 10% from the insurance and pay the remaining amount cash from my savings.,,"(1) You can pay the full amount in cash, which will cost you $399. ,Which financing option would you opt for? Would you have the necessary cash on hand? Would the interest be worth paying in this case?","I would pay the full amount in cash, so that I can save on the interest that I would be liable to pay if I were to buy it on credit.",IM_bE2S9o14I9Ccz9X,IM_8IbFwgffk3poH0V,IM_6DMqrhFwht2b7lX,IM_78lVaLGnJ5CM8YJ,23.256,23.256,29.48,1,IM_8kKKjB4nAMNj9YN,12.685,12.685,15.282,1,IM_digXxcyqRdabhUp,27.967,27.967,28.939,1,IM_3sLYMUuo2HruxLf,46.178,46.178,48.951,1,IM_5nYGyFlfxjyMkiF,11.897,11.897,21.074,1,IM_b1uQozoykXcvi4J,35.972,35.972,39.891,1,IM_aV3iD4mmfiuBFsN,2300,3,Yes,2,R_3Pw2GwmbLpCcW4e,611e20464a435b1b494f042d
2021-12-01 11:02:34,2021-12-01 11:24:03,IP Address,41.114.14.253,100,1288,True,2021-12-01 11:24:03,R_3eehj1MNDizRB36,,,,,-25.7599029541015625,28.260406494140625,anonymous,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,"Maintaining my current lifestyle would be difficult, I would have to cut back on food, leisure and travel plans as well. ","I am unemployed and currently a student so I would have to turn to my single parent (my mother0 to help me out in such a situation. It would not cause any financial hardship on me but may cause hardship on my mother. And she would be required to make sacrifices that could potentially have long-term consequences. ","(1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it?,How would you go about making this decision? Would it be an easy or a difficult decision for you to make?",I would pay the full amount in cash by liquidating my savings. Isn't that what savings are for? To help out in unexpected or unplanned events?,"It would be a difficult decision but I will be at ease considering that my car will be fixed and won't have to worry about it breaking down or having to get a new one. ","(2) You can pay in 12 monthly payments, of $100 each, which would amount to a total of $1200 .,Would you have the necessary cash on hand? Would the interest be worth paying in this case?","The interest would be worth paying in this case. ",,,,,,,,IM_bE2S9o14I9Ccz9X,,IM_7QdRZflfm3z1iYZ,,4.76,84.916,86.863,3,IM_8kKKjB4nAMNj9YN,0.384,54.344,56.578,3,IM_4MHogJ0S9DGj2CN,18.241,51.936,53.261,3,IM_3sLYMUuo2HruxLf,43.714,62.159,63.968,4,IM_bl2mcXsgQvoz9d3,44.398,62.165,63.582,3,IM_eJz8YdAOP6bc5H7,19.43,55.507,56.937,6,IM_784C00xIF940eOx,50421.33,4,Yes,1,R_3eehj1MNDizRB36,6157530b085372b9d87dda51
2021-12-01 11:17:44,2021-12-01 11:31:58,IP Address,77.180.22.233,100,853,True,2021-12-01 11:31:58,R_41kAoYwefwCzYTD,,,,,50.151702880859375,8.7523040771484375,anonymous,EN,"I consent to participating in the study.

I also consent to having my personal data treated in the way described in the information above.",,,,,,,,,I would still be able to maintain the same lifestile I had before.,I have enough money in my bank account so I would just get the money from an ATM if I need it on a very short notice. This wouldn't cause long-lasting financial hardship or any sacrifices for me.,"(1) Pay the full amount in cash. Would this require liquidating savings? How would you go about it?,How would you go about making this decision? Would it be an easy or a difficult decision for you to make?",This wouldn't require liquidating savings.,It wouldn't be an difficult decision to make.,"(1) You can pay the full amount in cash, which will cost you $399. ,Which financing option would you opt for? Would you have the necessary cash on hand? Would the interest be worth paying in this case?",The first option because the second one costs 81$ extra. I would have the necessary cash on hand.,IM_bE2S9o14I9Ccz9X,IM_bE2S9o14I9Ccz9X,IM_6nAKdOfSbtJLV65,,30.552,30.552,35.476,1,IM_8kKKjB4nAMNj9YN,11.284,11.284,23.198,1,IM_digXxcyqRdabhUp,25.872,25.872,34.685,1,IM_9voKE7k5pLmveuh,48.375,48.375,57.159,1,IM_72rU8yrbGxUD6Dz,19.817,19.817,26.254,1,IM_9nL7YBvVgXgG28d,116.018,116.018,120.115,1,IM_56FHXol3GC4Wjwp,60000,4,Yes,6,R_41kAoYwefwCzYTD,5e72251679b4f1145f980dd1
